,genetic_name,genetic_ident,hen_color,hen_week_age,feed_intake_min,feed_intake_max,hen_day_egg_cum_min,hen_day_egg_cum_max,hen_week_mort_cumulative,egg_mass_hen,egg_weight_avg,avg_feed_hen_day,avg_feed_hen_week,cum_feed_hen
0,hyline,hyline_w36,white,18,63,74,0.1,0.2,0.1,0.01,44.2,68.5,479.5,479.5
1,hyline,hyline_w36,white,19,68,77,1.2,1.8,0.1,0.07,45.0,72.5,507.5,987.0
2,hyline,hyline_w36,white,20,73,80,3.6,5.3,0.1,0.2,45.9,76.5,535.5,1522.5
3,hyline,hyline_w36,white,21,76,84,7.8,9.9,0.2,0.4,48.0,80.0,560.0,2082.5
4,hyline,hyline_w36,white,22,80,88,13.4,15.8,0.2,0.7,49.8,84.0,588.0,2670.5
5,hyline,hyline_w36,white,23,85,93,19.6,22.2,0.3,1.0,51.3,89.0,623.0,3293.5
6,hyline,hyline_w36,white,24,89,96,26.0,28.8,0.4,1.4,52.6,92.5,647.5,3941.0
7,hyline,hyline_w36,white,25,93,99,32.5,35.4,0.5,1.7,53.7,96.0,672.0,4613.0
8,hyline,hyline_w36,white,26,94,101,39.1,42.1,0.5,2.1,54.7,97.5,682.5,5295.5
9,hyline,hyline_w36,white,27,96,102,45.7,48.8,0.6,2.5,55.5,99.0,693.0,5988.5
10,hyline,hyline_w36,white,28,96,103,52.4,55.5,0.6,2.8,56.3,99.5,696.5,6685.0
11,hyline,hyline_w36,white,29,97,103,59.0,62.2,0.7,3.2,57.0,100.0,700.0,7385.0
12,hyline,hyline_w36,white,30,97,103,65.6,68.9,0.7,3.6,57.6,100.0,700.0,8085.0
13,hyline,hyline_w36,white,31,97,103,72.3,75.6,0.8,4.0,58.1,100.0,700.0,8785.0
14,hyline,hyline_w36,white,32,98,104,78.9,82.3,0.9,4.4,58.5,101.0,707.0,9492.0
15,hyline,hyline_w36,white,33,98,104,85.5,89.0,0.9,4.8,59.0,101.0,707.0,10199.0
16,hyline,hyline_w36,white,34,98,104,92.1,95.6,1.0,5.1,59.3,101.0,707.0,10906.0
17,hyline,hyline_w36,white,35,98,104,98.7,102.2,1.0,5.5,59.7,101.0,707.0,11613.0
18,hyline,hyline_w36,white,36,98,105,105.2,108.8,1.1,5.9,60.0,101.5,710.5,12323.5
19,hyline,hyline_w36,white,37,98,105,111.8,115.4,1.1,6.3,60.3,101.5,710.5,13034.0
20,hyline,hyline_w36,white,38,98,105,118.3,122.0,1.2,6.7,60.5,101.5,710.5,13744.5
21,hyline,hyline_w36,white,39,98,105,124.8,128.5,1.3,7.1,60.7,101.5,710.5,14455.0
22,hyline,hyline_w36,white,40,99,105,131.3,135.0,1.3,7.5,60.9,102.0,714.0,15169.0
23,hyline,hyline_w36,white,41,99,105,137.7,141.5,1.4,7.9,61.1,102.0,714.0,15883.0
24,hyline,hyline_w36,white,42,99,105,144.2,148.0,1.5,8.3,61.3,102.0,714.0,16597.0
25,hyline,hyline_w36,white,43,99,105,150.6,154.0,1.6,8.7,61.5,102.0,714.0,17311.0
26,hyline,hyline_w36,white,44,99,105,156.9,160.9,1.6,9.1,61.6,102.0,714.0,18025.0
